Hundename,Original_Hundename,Score,EpiProgeny
Timothy of Holdgate,FTCh Greenwood Timothy of Holdgate,"1,5","Carson vom Stecknitztal, Chilihunters Game Glen, Chilihunters Pro Hazy, Felice vom Lipperoder Bruch, Floyd vom Hirschth�rl, Flying Flap Ears Duncan, Flying Flap Ears Ice Age, Flynn vom Hirschth�rl, G�salyckans Gary Cooper, G�salyckans Handsome Boy, Lochmuir Casey, Mandylike's Porsche, Ravenfly Arielle, Searover Easy Sjakk, Searover Ruffling Thea, Sirmakan Jitterbug, Waterfowler Ace, Willowyck Unite"
Mandylike's Certainly Crystal,NO JCH SE JCH Mandylike's Certainly Crystal,"1,5","Chilihunters Over Bridge, Chilihunters Over Trouble, Zetastar Zesty Boy"
Whillanbeck Tinker,Whillanbeck Tinker,"1,5","Chilihunters Over Bridge, Chilihunters Over Trouble, Hardrocks Blue Danube, S?KH I VATTUMANNEN HUMLE, Zetastar Zesty Boy"
Richbourne Kuri,Richbourne Kuri,"1,5","Clausi von der Aacher Haag, Crooked Field Action"
Black Pearls Of Mainhatten Honeymoon,Black Pearls Of Mainhatten Honeymoon,"1,5","Clausi von der Aacher Haag, DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag"
Beauthy-Bilinda vom Auerswalder Teich,Beauthy-Bilinda vom Auerswalder Teich,"1,5","Clausi von der Aacher Haag, DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag"
Alvgardens Star Ruby,FI MVA Alvgardens Star Ruby / �lvg�rdens Star Ruby,"1,5","Dark Water's Endless Star, Fiin Hemuli"
Precious For Eternity Kindly I'm Yours,Precious For Eternity Kindly I'm Yours LCD-Jgd-/LCD-CH.,"1,5","Eternal Friend's Bright Eyes, Faithful Bright Eyes Autumn Love"
Loughbrook Goldcharm of Lafayette,FTW Loughbrook Goldcharm of Lafayette,"1,5","Felice vom Lipperoder Bruch, Ravenfly Arielle"
Carolhill Crusader of Brocklebank,FTCh Carolhill Crusader of Brocklebank,"1,5","Glengad Dobby, IVANTHES FIRST PLOPP, Lochmuir Casey, Moorman's Lennie Mirak, Splash of Water's Capercaillie, Splash of Water's Grouse, SE LCH Streamlight's Ace Leon, Tealshead Bracken"
Pasturelands Amber of Millcottage,Pasturelands Amber of Millcottage,"1,5","Glengad Dobby, IVANTHES FIRST PLOPP, Lochmuir Casey, Moorman's Lennie Mirak, Splash of Water's Capercaillie, Splash of Water's Grouse, SE LCH Streamlight's Ace Leon, Tealshead Bracken"
Iron Man Draco Minor,Iron Man Draco Minor,"1,5","Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof"
Cappuccina aus L�hlsbusch,Cappuccina aus L�hlsbusch,"1,5","Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof"
Carpenny Scenario,CIE NL CH GER (VDH/LCD) CH Carpenny Scenario,"1,5","Hardscrabble Augusta, Saskian Xino"
Flanders Pride Excalibur,LCD.JGD-/VDH-/VDH.JGD-CHAMPION  Flanders Pride Excalibur,"1,5","Holli von Gugi's Kate, Kleo vom Fallenbergs-Hof"
Bgwendy van't Balkenhof,Bgwendy van't Balkenhof,"1,5","Holli von Gugi's Kate, Kleo vom Fallenbergs-Hof"
Starcreek Efinegan,BEL & INT FTCh Starcreek Efinegan,"1,5","Hypnos Spectre, Never change Gasper"
Jayncourt Starman,Jayncourt Starman,"1,5","Kebrekato Famehunter, Kebrekato Fiddle Dee, Riverflow Star Pleaser"
Gladys von der Bleiburg,Gladys von der Bleiburg,"1,5","King von der Bleiburg, Nanni-Nadalina von der Bleiburg"
Time Square Ulysses,BISS Am GCh Ger Ch. Time Square Ulysses,"1,5","Laboriginals Oi Va Voi, Meta vom Barkendiek"
Ffynongain Gunner at Tudorcourt,Ffynongain Gunner at Tudorcourt,"1,5","Labstratego Yellow River, Mandylike's Twinkle"
Lola Montenz vom Lauterbachtal,Lola Montenz vom Lauterbachtal,"1,5","Lauterrinn's Dale Sir Falk Freddy, Lauterrinn's Dale Sir Wesley"
Ethusan �rkkim�rkki,Ethusan �rkkim�rkki,"1,5","Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Muistokas Rollo"
Mandylike's Blissful Bean,Mandylike's Blissful Bean,"1,5","Mandylike's Porsche, Mandylike's Twinkle"
Paukku-Noudon Fauni,Paukku-Noudon Fauni,"1,5","NIINIVUOREN KULTA-KUTRI, Vauhti-Noudon Vauhtineito"
Searover Kits Day,SE J(j)CH Searover Kits Day,"1,5","Sea-Croft Kay's Iowa, Searover Day Mackay"
Searover Kits Deal,SE NOJCH Searover Kits Deal,"1,5","Searover Kellys Guns N'roses, Searover Sweet Flip Flop"
Bessie,SE VCH Bessie (S29062/95),"1,5","Splash of Water's Capercaillie, Splash of Water's Grouse, Viltv�rdarns Galax, Viltv�rdarns Unika Enya"
Loresho Love Mission,Fin.Ch. Loresho Love Mission,"1,4375","Aaron from Elderberry Grove, As Game As Ermara, Black Hamlet L for Lake Shasta, Catch me if you can Happy Carlo, Gr�fin von Westerholts Kastalia, Grages Annalouisa, Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof, Iljoscha von der Perle der S�dpfalz, Snowy Roxy vom Windbrunnen"
Dagley's Girl,Dagley's Girl,"1,4375","Batmoors' Apollo Lurgan, Cliff vom Zwillbrocker Venn, Dual's Hope Nicam, Eagle Owl's Osiris, Kosta Kl�vers Bran, NIINIVUOREN MEREN-SALAISUUS, Searover Ruffling Thea, Sven (SE21895/2015), Thorsvi Harris, Wijmas Lilla My, Wijmas Mymlan, Willowyck Unite"
Kelvinhead Ace,Kelvinhead Ace,"1,4375","Carson vom Stecknitztal, Chilihunters Over Bridge, Chilihunters Over Trouble, Clinton vom Hembeck, G�salyckans Gary Cooper, G�salyckans Handsome Boy, Hardrocks Blue Danube, Labstratego Yellow River, Mandylike's Porsche, Mandylike's Twinkle, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Snowy Roxy vom Windbrunnen, Zetastar Zesty Boy"
MARKPR Dina,DKBRCH DKJCH MARKPR Dina (DK 11724/88),"1,4375","Carson vom Stecknitztal, Chilihunters Over Bridge, Chilihunters Over Trouble, Clinton vom Hembeck, G�salyckans Gary Cooper, G�salyckans Handsome Boy, Hardrocks Blue Danube, Labstratego Yellow River, Mandylike's Porsche, Mandylike's Twinkle, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Snowy Roxy vom Windbrunnen, Zetastar Zesty Boy"
Lindall Mastercraft,Gb Sh Am Can CH Lindall Mastercraft JH,"1,375","Aaron from Elderberry Grove, Alflasker Barni, Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz, Donna of Anny's Labs, Dumbledore of Anny's Labs, Gent Fynn from the Old Mansion House, Gismo vom G?nsried, Hof Sommerberg Carlos, Holli von Gugi's Kate, Illko Wind in the Willows, Lauterrinn's Dale Sir Falk Freddy, Lauterrinn's Dale Sir Wesley, Ludanies Be Brave, Olina von der Hollen-Hardt, Pictorial Betty, Rosanan White Gold, Shadowvale's Tough Lady Hope, Ulanda aus dem Burghaus"
Romlund's Black Bo'Sun,Romlund's Black Bo'Sun,"1,375","Alflasker Barni, Gwendy's Gandalf, Hardrocks Blue Danube"
Pocklea Tide of Middlegate,FTCh Pocklea Tide of Middlegate,"1,375","Alsn�sets Hagla's Midnattssol, Carson vom Stecknitztal, Chilihunters Game Glen, Chilihunters Over Bridge, Chilihunters Over Trouble, Chilihunters Pro Hazy, Deep Impact As Nike, Limmerhultarna's Solstorm, Lochmuir Casey, Never change Gasper, Raven vom Tor zur Egge, Searover Cosys Karo, Viltv�rdarns Galax, Viltv�rdarns Unika Enya, Waterfowler Ace, Willowridge G�sta-Berling"
As Game As Carrie,As Game As Carrie,"1,375","Angel of Hope Arik, Catch me if you can Happy Carlo, Grages Annalouisa"
Waterford Easter,FTCh Waterford Easter,"1,375","Batmoors' Apollo Lurgan, Dual's Hope Nicam, Thorsvi Harris, Thorsvi Rock Creek, Willowridge Five Star"
Strad Benis,FTCh Strad Benis,"1,375","Batmoors' Apollo Lurgan, Caper Cailie's Ohio, Kosta Kl�vers Bran, Labstratego Yellow River, Mandylike's Twinkle, Meadowlark Black Kite, Sea-Croft Kay's Iowa, Splash of Water's Capercaillie, Splash of Water's Grouse, Sven (SE21895/2015), Thorsvi Harris, Willowridge Five Star, Winning Line's License to Kill, Zetastar Zesty Boy"
Mallorn's Storm In A Cup,DK. Ch. Mallorn's Storm In A Cup,"1,375","Black Hamlet L for Lake Shasta, Just Bertha von der Tarpenbek, Saskian Xino, Wim"
Skellorn Rosemary,Skellorn Rosemary,"1,375","Brufinn Keep Retrieving Doc, Cosmic Cover's Mill's Jaywalker, Dimh�jdens Jack Af Barney, Frankie's Rolle, SE J(J)CH Hillus Drake, Huntrets Gott Mos, Huntrets Scilla, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Searover Easy Sjakk, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy, Winning Line's License to Kill"
Bo'Ness Lady,Bo'Ness Lady,"1,375","Chilihunters Game Glen, Mandylike's Porsche, NIINIVUOREN KULTA-KUTRI, Waterfowler Ace"
Esmoro Tide,Esmoro Tide,"1,375","Dimh�jdens Jack Af Barney, G�salyckans Gary Cooper, G�salyckans Handsome Boy, Middle River's Forest Harmony, Waterfowler Ace"
Gemma,Willow Gemma,"1,375","Dimh�jdens Jack Af Barney, G�salyckans Gary Cooper, G�salyckans Handsome Boy, Middle River's Forest Harmony, Waterfowler Ace"
Searover Singel-Skye,SE JCH Searover Singel-Skye,"1,375","Frankie's Rolle, Hunting High And Low B'mali, Huntrets Scilla, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Reedsweeper's Desna, Sea-Croft Kay's Iowa, Splash of Water's Capercaillie, Splash of Water's Grouse, Willowridge Five Star, Winning Line's License to Kill"
Connemara Twinkle of Lakedown,FTCh Connemara Twinkle of Lakedown,"1,375","Glengad Dobby, Kosta Kl�vers Bran, Sea-Croft Kay's Iowa, Splash of Water's Capercaillie, Splash of Water's Grouse, Winning Line's License to Kill"
Drakeshead Indiana,FTCh Drakeshead Indiana,"1,375","Glengad Dobby, Kosta Kl�vers Bran, Never change Gasper, Raven vom Tor zur Egge"
Flaxdale Jarvey,Flaxdale Jarvey,"1,375","Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Niinivuoren Aamu-Uninen, NIINIVUOREN KULTA-KUTRI, Saku (FIN46719/07), Sirmakan Jitterbug, Vauhti-Noudon Vauhtineito"
Spectron Naskali,FI TCH  Spectron Naskali,"1,375","Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Muistokas Rollo, Niinivuoren Aamu-Uninen, Usvalinnun Asterix"
Franz-Josef aus L�hlsbusch,VDH Ch. Franz-Josef aus L�hlsbusch,"1,3125","Aaron from Elderberry Grove, Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof, Kleo vom Fallenbergs-Hof"
Dana vom Alst?tter-Moor,Dana vom Alst?tter-Moor,"1,3125","Aaron from Elderberry Grove, Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof, Kleo vom Fallenbergs-Hof"
Dickendalls Ruffy SH,Am CH Dickendalls Ruffy SH,"1,3125","Ambra vom freien Blick, Armani Damon vom Asbrookdamm, Aslan vom freien Blick, Clausi von der Aacher Haag, Crooked Field Action, Doro�s Bennet Fellow for Life, DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag, Eternal Friend's Bright Eyes, Faithful Bright Eyes Autumn Love, Fulmarus Dumpy Boy, Hardscrabble Augusta, Jumping Jack's Flash Absolute Power, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch, Laboriginals Oi Va Voi"
Dickendalls A-Ha,Dickendalls A-Ha,"1,3125","Ambra vom freien Blick, Armani Damon vom Asbrookdamm, Aslan vom freien Blick, Clausi von der Aacher Haag, Crooked Field Action, Doro�s Bennet Fellow for Life, DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag, Eternal Friend's Bright Eyes, Faithful Bright Eyes Autumn Love, Fulmarus Dumpy Boy, Hardscrabble Augusta, Jumping Jack's Flash Absolute Power, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch, Laboriginals Oi Va Voi"
Waterford Covey,FTCh Waterford Covey,"1,3125","Batmoors' Apollo Lurgan, COSMIC COVER'S WIN CALL TO FIND OUT, Dual's Hope Nicam, Glengad Dobby, Gr�fin von Westerholts Kastalia, Kingsdale Meadow Dark, Thorsvi Harris, Thorsvi Rock Creek, Willowridge Five Star"
Broadlaw Elder of Laggengill,FTCh Broadlaw Elder of Laggengill,"1,3125","Batmoors' Apollo Lurgan, Hh's On Duty Cronos, Kosta Kl�vers Bran, Meadowlark Marigold, Meadowlark Mr Badger, Wijmas Lilla My, Wijmas Mymlan"
Raybank Asp,FTW Raybank Asp,"1,3125","Chilihunters Game Glen, Chilihunters Over Bridge, Chilihunters Over Trouble, Chilihunters Pro Hazy, Hardrocks Blue Danube, SE J(J)CH Hillus Drake, Hypnos Spectre, Lochmuir Casey, Mandylike's Porsche, NIINIVUOREN KULTA-KUTRI, Polarfischer Greg, Quickrunners Alan, Quickrunners August, Reedsweeper's Desna, Searover Cosys Karo, Waterfowler Ace, Willowridge G�sta-Berling"
Kilderkin Renoir,FTCh Kilderkin Renoir,"1,3125","Cliff vom Zwillbrocker Venn, Eagle Owl's Osiris, Felice vom Lipperoder Bruch, Hypnos Spectre, Labstratego Yellow River, Mandylike's Twinkle, Muschelsucher Clooney, NIINIVUOREN MEREN-SALAISUUS, Pibiz Game Keeper, Raven vom Tor zur Egge, Ravenfly Arielle, Sea-Croft Kay's Iowa, Searover Day Mackay, Sven (SE21895/2015)"
Jayncourt Star Surprise,Jayncourt Star Surprise,"1,3125","Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof, Faithful Bright Eyes Autumn Love, G�salyckans Gary Cooper, G�salyckans Handsome Boy, Gwendy's Gandalf, Hof Sommerberg Carlos, Jumping Jack's Flash Absolute Power, Kebrekato Famehunter, Kebrekato Fiddle Dee, Nothing Matters vom Auerswalder Teich"
Tasco Yellow Sally,Tasco Yellow Sally,"1,3125","Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Frankie's Rolle, Hardrocks Blue Danube, Huntrets Gott Mos, Mandylike's Twinkle, Muschelsucher Clooney, Namusillan Tammikehr��j�, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Searover Day Mackay, Searover Kellys Guns N'roses, SE LCH Streamlight's Ace Leon"
Manymills Jonah,Manymills Jonah,"1,3125","Huntrets Gott Mos, Huntrets Scilla, IVANTHES FIRST PLOPP, Limmerhultarna's Solstorm, Searover Cosys Karo, Searover Kellys Guns N'roses, Searover Sweet Flip Flop, SE LCH Streamlight's Ace Leon"
Rockdove's Regardless Tidy,SE JCH Rockdove's Regardless Tidy,"1,3125","Huntrets Gott Mos, Huntrets Scilla, IVANTHES FIRST PLOPP, Limmerhultarna's Solstorm, Searover Cosys Karo, Searover Kellys Guns N'roses, Searover Sweet Flip Flop, SE LCH Streamlight's Ace Leon"
Stockiemuir Kym of Carolhill,Stockiemuir Kym of Carolhill,"1,3125","Middle River's Forest Harmony, Polarfischer Greg, Quickrunners Alan, Quickrunners August"
Charway Simona,Charway Simona,"1,25","Aaron from Elderberry Grove, Alflasker Barni, Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz, Charway Rainstorm, Gismo vom G?nsried, Lauterrinn's Dale Sir Falk Freddy, Lauterrinn's Dale Sir Wesley, Oliver von Obderhalden, Ulanda aus dem Burghaus, Vigo von der Pfalz, Zlotha-Baba von der Pfalz"
Gowanvale Balance,DK Ch Gowanvale Balance,"1,25","Aika vom Steindammer-Forst, Armani Damon vom Asbrookdamm"
Novacroft Clarion,Novacroft Clarion,"1,25","Alerich of Trickster Hero, Donna of Anny's Labs, Dumbledore of Anny's Labs, Iljoscha von der Perle der S�dpfalz, Vigo von der Pfalz, Zlotha-Baba von der Pfalz"
Aika von der Pfalz,Aika von der Pfalz,"1,25","Alerich of Trickster Hero, Iljoscha von der Perle der S�dpfalz, Snowy Roxy vom Windbrunnen, Vigo von der Pfalz, Zlotha-Baba von der Pfalz"
Augustus Tuplady of Leospring,FTW Augustus Tuplady of Leospring,"1,25","Ambra vom freien Blick, Aslan vom freien Blick, Doro�s Bennet Fellow for Life, Iljoscha von der Perle der S�dpfalz, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch, Kleo vom Fallenbergs-Hof"
Biggas Ynga,INTCH FIMVA FIKVA FIJVA SEUCH SEVCH DKCH NOCH Biggas Ynga,"1,25","Ambra vom freien Blick, Aslan vom freien Blick, Black Bet's Gillie, Cannonpowder Penelope, Doro�s Bennet Fellow for Life, Fiin Hemuli, Iljoscha von der Perle der S�dpfalz, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch, King von der Bleiburg, Omenalaakson Charles For My Love"
Glencoin Drummer of Drakeshead,FTCh Glencoin Drummer of Drakeshead,"1,25","Bj�ragardens Timmy-Willie, Carson vom Stecknitztal, Clinton vom Hembeck, Hunting High And Low B'mali, Mandylike's Porsche, Muistokas Rollo, Namusillan Tammikehr��j�, NIINIVUOREN KULTA-KUTRI, Sea-Croft Nimble"
Clark von der Steinmauer,FTW Clark von der Steinmauer,"1,25","Brufinn Keep Retrieving Doc, Hillraisins Black Bertha, Raven vom Tor zur Egge, Streamlight's Grappas Dexter"
Etienne vom Gerretsfeld,Etienne vom Gerretsfeld,"1,25","Brufinn Keep Retrieving Doc, Hillraisins Black Bertha, Polarfischer Greg, Quickrunners Alan, Quickrunners August, Raven vom Tor zur Egge, Streamlight's Grappas Dexter"
Guns Choice Fetch-It,Guns Choice Fetch-It,"1,25","Caper Cailie's Ohio, Eagle Owl's Osiris, Frankie's Rolle, Hunting High And Low B'mali, Hypnos Spectre, Limmerhultarna's Solstorm, Moorman's Lennie Mirak, Reedsweeper's Desna, Sea-Croft Nimble, Searover Day Mackay, Searover Kellys Guns N'roses, Searover Ruffling Thea, SE LCH Streamlight's Ace Leon, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy, Viltv�rdarns Galax, Viltv�rdarns Unika Enya"
Towerline Swift,Ir.FTCh Towerline Swift,"1,25","Chilihunters Game Glen, Chilihunters Over Bridge, Chilihunters Over Trouble, Chilihunters Pro Hazy, Felice vom Lipperoder Bruch, SE J(J)CH Hillus Drake, Namusillan Tammikehr��j�, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Ravenfly Arielle, Searover Day Mackay, Searover Easy Sjakk, Streamlight's Pearl Sandy, Waterfowler Ace, Willowridge G�sta-Berling"
Graceful of Richbourne,Lenches Graceful of Richbourne,"1,25","Clausi von der Aacher Haag, Crooked Field Action, Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof"
Rocheby Manhattan,Rocheby Manhattan,"1,25","Donna of Anny's Labs, Dumbledore of Anny's Labs, Ludanies Be Brave, Olina von der Hollen-Hardt, Pictorial Betty"
Philipstown Madonna Too,Philipstown Madonna Too,"1,25","Donna of Anny's Labs, Dumbledore of Anny's Labs, Ludanies Be Brave, Olina von der Hollen-Hardt, Pictorial Betty"
Ravone Patscilla,Ravone Patscilla,"1,25","Donna of Anny's Labs, Dumbledore of Anny's Labs, Ludanies Be Brave, Olina von der Hollen-Hardt, Pictorial Betty"
Thornproof Villain,Int. Ch  Thornproof Villain,"1,25","Doro�s Bennet Fellow for Life, Gismo vom G?nsried"
Eagle Owl's Indiana,Eagle Owl's Indiana,"1,25","Eagle Owl's Osiris, Middle River's Forest Harmony"
Beechcroft's Foreign Exchange,Beechcroft's Foreign Exchange,"1,25","Funny Oskar von Gugi's Kate, Holli von Gugi's Kate, Kleo vom Fallenbergs-Hof"
Ulah van't Balkenhof,Ulah van't Balkenhof,"1,25","Funny Oskar von Gugi's Kate, Holli von Gugi's Kate, Kleo vom Fallenbergs-Hof"
Ragweed's Travel,Int FTCh Ragweed's Travel,"1,25","Hardrocks Blue Danube, Kingsdale Meadow Dark"
Justlike Prince Edward,SE J(J)CH  Justlike Prince Edward,"1,25","Huntrets Scilla, Reedsweeper's Desna, S?KH I VATTUMANNEN HUMLE"
Delfleet Pollen,Delfleet Pollen,"1,25","IVANTHES FIRST PLOPP, Splash of Water's Capercaillie, Splash of Water's Grouse, SE LCH Streamlight's Ace Leon"
Viper van't Balkenhof,Viper van't Balkenhof,"1,25","Judges Choice Cross my Heart, Mira von Gugi's Kate"
Copperbirch Paddy of Leadburn,FTCh Copperbirch Paddy of Leadburn,"1,25","Kosta Kl�vers Bran, Meadowlark Marigold, Meadowlark Mr Badger"
Lassagardens Nightingale,FI KVA SE JCH Lassagardens Nightingale,"1,25","Middle River's Forest Harmony, Waterfowler Ace"
Stenbury Black Ribbon,FI JCH SE JCH  Stenbury Black Ribbon,"1,25","Thorsvi Harris, Thorsvi Rock Creek, Willowridge Five Star"
Viltv�rdarns Aqua,SE VCH LPI SE JCH Viltv�rdarns Aqua,"1,25","Viltv�rdarns Galax, Viltv�rdarns Unika Enya"
Wetherlam Storm of Lawnwood,Wetherlam Storm of Lawnwood,"1,1875","Aaron from Elderberry Grove, Alflasker Barni, As Game As Ermara, Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz, Gismo vom G?nsried, Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof, Lauterrinn's Dale Sir Wesley, Vigo von der Pfalz, Zlotha-Baba von der Pfalz"
Sandylands Bramble,Sandylands Bramble,"1,1875","Alerich of Trickster Hero, Clausi von der Aacher Haag, Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof, Faithful Bright Eyes Autumn Love, Gulliver of Woodpecker's Lane, Gwendy's Gandalf, Hof Sommerberg Carlos, Jumping Jack's Flash Absolute Power, Kebrekato Famehunter, Kebrekato Fiddle Dee, Lauterrinn's Dale Sir Falk Freddy, Nothing Matters vom Auerswalder Teich, Oliver von Obderhalden, Zlotha-Baba von der Pfalz"
Moorman's Blue Heaven,Moorman's Blue Heaven,"1,1875","Alsn�sets Hagla's Midnattssol, Chilihunters Game Glen, Chilihunters Over Bridge, Chilihunters Over Trouble, Chilihunters Pro Hazy, NIINIVUOREN KULTA-KUTRI, Waterfowler Ace, Willowridge G�sta-Berling"
Tabatha's Valleywood Decoy,Am CH Tabatha's Valleywood Decoy WC,"1,1875","Ambra vom freien Blick, Aslan vom freien Blick, Clausi von der Aacher Haag, Crooked Field Action, Doro�s Bennet Fellow for Life, DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag, Eternal Friend's Bright Eyes, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch"
Ewshot Liffey,FTW Ewshot Liffey,"1,1875","Batmoors' Apollo Lurgan, Brufinn Keep Retrieving Doc, Caper Cailie's Ohio, Charway Rainstorm, Dual's Hope Nicam, Flying Flap Ears Ice Age, Viltv�rdarns Unika Enya, Wijmas Lilla My, Wijmas Mymlan"
Endacott's Queen,FTCh Endacott's Queen,"1,1875","Batmoors' Apollo Lurgan, Brufinn Keep Retrieving Doc, Caper Cailie's Ohio, Charway Rainstorm, Dual's Hope Nicam, Flying Flap Ears Ice Age, Viltv�rdarns Unika Enya, Wijmas Lilla My, Wijmas Mymlan"
Shadowbrae Mist of Levenghyl,FTCh Shadowbrae Mist of Levenghyl,"1,1875","Brufinn Keep Retrieving Doc, Caper Cailie's Ohio, Glengad Dobby, Hh's On Duty Cronos, Middle River's Forest Harmony, Pibiz Game Keeper"
